SID,SEASON,NAME,ISO_TIME,LAT,LON,WMO_WIND,USA_WIND,WMO_PRES,WIND_KTS,WIND_KMH,PRESSURE_HPA,YEAR,IMD_CATEGORY
1932244N19296,1932,NOT_NAMED,1932-08-30 18:00:00,18.8,-63.6,30,30, ,30.0,55.6,990.0,1932,Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-30 21:00:00,19.0477,-63.9998, ,30, ,30.0,55.6,990.0,1932,Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 00:00:00,19.3,-64.4,30,30, ,30.0,55.6,990.0,1932,Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 03:00:00,19.5574,-64.8001, ,32, ,32.0,59.3,990.0,1932,Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 06:00:00,19.8,-65.2,35,35, ,35.0,64.8,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 09:00:00,20.0225,-65.615, ,37, ,37.0,68.5,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 12:00:00,20.2,-66.0,40,40, ,40.0,74.1,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 15:00:00,20.3149,-66.3227, ,42, ,42.0,77.8,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 18:00:00,20.4,-66.6,45,45, ,45.0,83.3,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-08-31 21:00:00,20.5074,-66.8575, ,47, ,47.0,87.0,990.0,1932,Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 00:00:00,20.6,-67.1,50,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 03:00:00,20.65,-67.3576, ,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 06:00:00,20.7,-67.6,50,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 09:00:00,20.7925,-67.815, ,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 12:00:00,20.9,-68.0,50,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 15:00:00,21.0,-68.1575, ,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 18:00:00,21.1,-68.3,50,50, ,50.0,92.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-01 21:00:00,21.2,-68.45, ,52, ,52.0,96.3,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 00:00:00,21.3,-68.6,55,55, ,55.0,101.9,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 03:00:00,21.4,-68.75, ,55, ,55.0,101.9,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 06:00:00,21.5,-68.9,55,55, ,55.0,101.9,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 09:00:00,21.5999,-69.035, ,57, ,57.0,105.6,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 12:00:00,21.7,-69.2,60,60, ,60.0,111.1,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 15:00:00,21.8075,-69.4275, ,62, ,62.0,114.8,990.0,1932,Very Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 18:00:00,21.9,-69.7,65,65, ,65.0,120.4,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-02 21:00:00,21.9499,-69.9851, ,67, ,67.0,124.1,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 00:00:00,22.0,-70.3,70,70, ,70.0,129.6,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 03:00:00,22.0926,-70.6575, ,75, ,75.0,138.9,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 06:00:00,22.2,-71.0,80,80, ,80.0,148.2,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 09:00:00,22.2924,-71.2726, ,82, ,82.0,151.9,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 12:00:00,22.4,-71.5,85,85, ,85.0,157.4,990.0,1932,Extremely Severe Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 15:00:00,22.5425,-71.715, ,90, ,90.0,166.7,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 18:00:00,22.7,-71.9,95,95, ,95.0,175.9,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-03 21:00:00,22.8349,-72.0501, ,97, ,97.0,179.6,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 00:00:00,23.0,-72.2,100,100, ,100.0,185.2,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 03:00:00,23.2349,-72.3776, ,105, ,105.0,194.5,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 06:00:00,23.5,-72.6,110,110, ,110.0,203.7,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 09:00:00,23.7574,-72.8701, ,112, ,112.0,207.4,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 12:00:00,24.0,-73.2,115,115, ,115.0,213.0,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 15:00:00,24.215,-73.585, ,117, ,117.0,216.7,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 18:00:00,24.4,-74.0,120,120, ,120.0,222.2,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-04 21:00:00,24.5499,-74.4002, ,122, ,122.0,225.9,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 00:00:00,24.7,-74.8,125,125, ,125.0,231.5,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 03:00:00,24.8924,-75.2001, ,127, ,127.0,235.2,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 06:00:00,25.1,-75.6,130,130, ,130.0,240.8,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 09:00:00,25.2925,-76.0151, ,132, ,132.0,244.5,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 12:00:00,25.5,-76.4,135,135, ,135.0,250.0,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 15:00:00,25.7424,-76.73, ,137, ,137.0,253.7,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 18:00:00,26.0,-77.0,140,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-05 21:00:00,26.2499,-77.2301, ,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-06 00:00:00,26.5,-77.4,140,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-06 03:00:00,26.75,-77.5449, ,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-06 06:00:00,27.0,-77.6,140,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-06 09:00:00,27.2425,-77.5301, ,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
1932244N19296,1932,NOT_NAMED,1932-09-06 12:00:00,27.5,-77.4,140,140, ,140.0,259.3,990.0,1932,Super Cyclonic Storm
