sample_index,storm_id,window_start,window_end,current_lat,current_lon,current_wind_kmh,target_6h_lat,target_6h_lon,target_6h_wind_kmh,target_12h_lat,target_12h_lon,target_12h_wind_kmh,target_24h_lat,target_24h_lon,target_24h_wind_kmh
0,STORM_001,2020-05-01 00:00,2020-05-01 21:00,14.4,90.71,79.9,15.36,89.96,89.3,16.14,89.48,95.4,17.59,88.45,82.9
1,STORM_001,2020-05-01 03:00,2020-05-02 00:00,14.79,90.49,83.0,15.76,89.64,91.3,16.43,89.19,90.7,17.97,88.19,81.0
2,STORM_001,2020-05-01 06:00,2020-05-02 03:00,15.08,90.18,87.0,16.14,89.48,95.4,16.86,89.0,89.9,18.29,87.9,76.7
3,STORM_001,2020-05-01 09:00,2020-05-02 06:00,15.36,89.96,89.3,16.43,89.19,90.7,17.19,88.82,85.0,18.58,87.74,72.9
4,STORM_001,2020-05-01 12:00,2020-05-02 09:00,15.76,89.64,91.3,16.86,89.0,89.9,17.59,88.45,82.9,18.97,87.42,71.8
5,STORM_001,2020-05-01 15:00,2020-05-02 12:00,16.14,89.48,95.4,17.19,88.82,85.0,17.97,88.19,81.0,19.34,87.17,66.9
6,STORM_001,2020-05-01 18:00,2020-05-02 15:00,16.43,89.19,90.7,17.59,88.45,82.9,18.29,87.9,76.7,19.61,86.92,65.2
7,STORM_001,2020-05-01 21:00,2020-05-02 18:00,16.86,89.0,89.9,17.97,88.19,81.0,18.58,87.74,72.9,19.99,86.67,61.9
8,STORM_001,2020-05-02 00:00,2020-05-02 21:00,17.19,88.82,85.0,18.29,87.9,76.7,18.97,87.42,71.8,20.35,86.44,58.1
9,STORM_001,2020-05-02 03:00,2020-05-03 00:00,17.59,88.45,82.9,18.58,87.74,72.9,19.34,87.17,66.9,20.61,86.2,54.0
10,STORM_001,2020-05-02 06:00,2020-05-03 03:00,17.97,88.19,81.0,18.97,87.42,71.8,19.61,86.92,65.2,21.08,85.92,53.5
11,STORM_001,2020-05-02 09:00,2020-05-03 06:00,18.29,87.9,76.7,19.34,87.17,66.9,19.99,86.67,61.9,21.4,85.71,50.8
12,STORM_001,2020-05-02 12:00,2020-05-03 09:00,18.58,87.74,72.9,19.61,86.92,65.2,20.35,86.44,58.1,21.68,85.43,47.1
13,STORM_001,2020-05-02 15:00,2020-05-03 12:00,18.97,87.42,71.8,19.99,86.67,61.9,20.61,86.2,54.0,21.99,85.24,44.6
14,STORM_002,2020-05-01 00:00,2020-05-01 21:00,16.43,90.29,77.8,17.37,89.56,89.2,18.06,88.98,93.9,19.46,87.98,83.1
15,STORM_002,2020-05-01 03:00,2020-05-02 00:00,16.69,89.93,81.8,17.76,89.31,90.4,18.42,88.83,92.8,19.79,87.81,79.1
16,STORM_002,2020-05-01 06:00,2020-05-02 03:00,17.02,89.77,84.6,18.06,88.98,93.9,18.73,88.52,88.0,20.17,87.46,74.1
