storm_id,timestamp,lat,lon,wind_kmh,year
STORM_001,2014-09-15 12:00,12.5,85.0,35.0,2014
STORM_002,2015-09-15 12:00,13.0,85.5,36.5,2015
STORM_003,2016-09-15 12:00,13.5,86.0,38.0,2016
STORM_004,2017-09-15 12:00,14.0,86.5,39.5,2017
STORM_005,2014-09-15 12:00,14.5,87.0,41.0,2014
STORM_006,2015-09-15 12:00,15.0,87.5,42.5,2015
STORM_007,2016-09-15 12:00,15.5,88.0,44.0,2016
STORM_008,2017-09-15 12:00,16.0,88.5,45.5,2017
STORM_009,2014-09-15 12:00,16.5,89.0,47.0,2014
STORM_010,2015-09-15 12:00,17.0,89.5,48.5,2015
STORM_001,2016-09-15 12:00,12.5,85.0,50.0,2016
STORM_002,2017-09-15 12:00,13.0,85.5,51.5,2017
STORM_003,2014-09-15 12:00,13.5,86.0,53.0,2014
STORM_004,2015-09-15 12:00,14.0,86.5,54.5,2015
STORM_005,2016-09-15 12:00,14.5,87.0,56.0,2016
STORM_006,2017-09-15 12:00,15.0,87.5,57.5,2017
STORM_007,2014-09-15 12:00,15.5,88.0,59.0,2014
STORM_008,2015-09-15 12:00,16.0,88.5,60.5,2015
STORM_009,2016-09-15 12:00,16.5,89.0,62.0,2016
STORM_010,2017-09-15 12:00,17.0,89.5,63.5,2017
STORM_001,2014-09-15 12:00,12.5,85.0,65.0,2014
STORM_002,2015-09-15 12:00,13.0,85.5,66.5,2015
STORM_003,2016-09-15 12:00,13.5,86.0,68.0,2016
STORM_004,2017-09-15 12:00,14.0,86.5,69.5,2017
STORM_005,2014-09-15 12:00,14.5,87.0,71.0,2014
STORM_006,2015-09-15 12:00,15.0,87.5,72.5,2015
STORM_007,2016-09-15 12:00,15.5,88.0,74.0,2016
STORM_008,2017-09-15 12:00,16.0,88.5,75.5,2017
STORM_009,2014-09-15 12:00,16.5,89.0,77.0,2014
STORM_010,2015-09-15 12:00,17.0,89.5,78.5,2015
STORM_001,2016-09-15 12:00,12.5,85.0,80.0,2016
STORM_002,2017-09-15 12:00,13.0,85.5,81.5,2017
STORM_003,2014-09-15 12:00,13.5,86.0,83.0,2014
STORM_004,2015-09-15 12:00,14.0,86.5,84.5,2015
STORM_005,2016-09-15 12:00,14.5,87.0,86.0,2016
STORM_006,2017-09-15 12:00,15.0,87.5,87.5,2017
STORM_007,2014-09-15 12:00,15.5,88.0,89.0,2014
STORM_008,2015-09-15 12:00,16.0,88.5,90.5,2015
STORM_009,2016-09-15 12:00,16.5,89.0,92.0,2016
STORM_010,2017-09-15 12:00,17.0,89.5,93.5,2017
STORM_001,2014-09-15 12:00,12.5,85.0,95.0,2014
STORM_002,2015-09-15 12:00,13.0,85.5,96.5,2015
STORM_003,2016-09-15 12:00,13.5,86.0,98.0,2016
STORM_004,2017-09-15 12:00,14.0,86.5,99.5,2017
STORM_005,2014-09-15 12:00,14.5,87.0,101.0,2014
STORM_006,2015-09-15 12:00,15.0,87.5,102.5,2015
STORM_007,2016-09-15 12:00,15.5,88.0,104.0,2016
STORM_008,2017-09-15 12:00,16.0,88.5,105.5,2017
STORM_009,2014-09-15 12:00,16.5,89.0,107.0,2014
STORM_010,2015-09-15 12:00,17.0,89.5,108.5,2015
STORM_001,2016-09-15 12:00,12.5,85.0,110.0,2016
STORM_002,2017-09-15 12:00,13.0,85.5,111.5,2017
STORM_003,2014-09-15 12:00,13.5,86.0,113.0,2014
STORM_004,2015-09-15 12:00,14.0,86.5,114.5,2015
STORM_005,2016-09-15 12:00,14.5,87.0,116.0,2016
STORM_006,2017-09-15 12:00,15.0,87.5,117.5,2017
STORM_007,2014-09-15 12:00,15.5,88.0,119.0,2014
STORM_008,2015-09-15 12:00,16.0,88.5,120.5,2015
STORM_009,2016-09-15 12:00,16.5,89.0,122.0,2016
STORM_010,2017-09-15 12:00,17.0,89.5,123.5,2017
STORM_001,2014-09-15 12:00,12.5,85.0,125.0,2014
STORM_002,2015-09-15 12:00,13.0,85.5,126.5,2015
STORM_003,2016-09-15 12:00,13.5,86.0,128.0,2016
STORM_004,2017-09-15 12:00,14.0,86.5,129.5,2017
STORM_005,2014-09-15 12:00,14.5,87.0,131.0,2014
STORM_006,2015-09-15 12:00,15.0,87.5,132.5,2015
STORM_007,2016-09-15 12:00,15.5,88.0,134.0,2016
STORM_008,2017-09-15 12:00,16.0,88.5,135.5,2017
STORM_009,2014-09-15 12:00,16.5,89.0,137.0,2014
STORM_010,2015-09-15 12:00,17.0,89.5,138.5,2015
STORM_001,2016-09-15 12:00,12.5,85.0,140.0,2016
STORM_002,2017-09-15 12:00,13.0,85.5,141.5,2017
STORM_003,2014-09-15 12:00,13.5,86.0,143.0,2014
STORM_004,2015-09-15 12:00,14.0,86.5,144.5,2015
STORM_005,2016-09-15 12:00,14.5,87.0,146.0,2016
STORM_006,2017-09-15 12:00,15.0,87.5,147.5,2017
STORM_007,2014-09-15 12:00,15.5,88.0,149.0,2014
STORM_008,2015-09-15 12:00,16.0,88.5,150.5,2015
STORM_009,2016-09-15 12:00,16.5,89.0,152.0,2016
STORM_010,2017-09-15 12:00,17.0,89.5,153.5,2017
STORM_001,2014-09-15 12:00,12.5,85.0,35.0,2014
STORM_002,2015-09-15 12:00,13.0,85.5,36.5,2015
STORM_003,2016-09-15 12:00,13.5,86.0,38.0,2016
STORM_004,2017-09-15 12:00,14.0,86.5,39.5,2017
STORM_005,2014-09-15 12:00,14.5,87.0,41.0,2014
STORM_006,2015-09-15 12:00,15.0,87.5,42.5,2015
STORM_007,2016-09-15 12:00,15.5,88.0,44.0,2016
STORM_008,2017-09-15 12:00,16.0,88.5,45.5,2017
STORM_009,2014-09-15 12:00,16.5,89.0,47.0,2014
STORM_010,2015-09-15 12:00,17.0,89.5,48.5,2015
STORM_001,2016-09-15 12:00,12.5,85.0,50.0,2016
STORM_002,2017-09-15 12:00,13.0,85.5,51.5,2017
STORM_003,2014-09-15 12:00,13.5,86.0,53.0,2014
STORM_004,2015-09-15 12:00,14.0,86.5,54.5,2015
STORM_005,2016-09-15 12:00,14.5,87.0,56.0,2016
STORM_006,2017-09-15 12:00,15.0,87.5,57.5,2017
STORM_007,2014-09-15 12:00,15.5,88.0,59.0,2014
STORM_008,2015-09-15 12:00,16.0,88.5,60.5,2015
STORM_009,2016-09-15 12:00,16.5,89.0,62.0,2016
STORM_010,2017-09-15 12:00,17.0,89.5,63.5,2017
