storm_id,timestamp,lat,lon,wind_kmh,year
STORM_001,2020-05-01 00:00,11.94,92.41,59.8,2020
STORM_001,2020-05-01 03:00,12.31,92.15,63.5,2020
STORM_001,2020-05-01 06:00,12.51,91.97,65.9,2020
STORM_001,2020-05-01 09:00,13.03,91.75,67.9,2020
STORM_001,2020-05-01 12:00,13.37,91.47,70.2,2020
STORM_001,2020-05-01 15:00,13.74,91.17,75.5,2020
STORM_001,2020-05-01 18:00,14.0,90.92,75.9,2020
STORM_001,2020-05-01 21:00,14.4,90.71,79.9,2020
STORM_001,2020-05-02 00:00,14.79,90.49,83.0,2020
STORM_001,2020-05-02 03:00,15.08,90.18,87.0,2020
STORM_001,2020-05-02 06:00,15.36,89.96,89.3,2020
STORM_001,2020-05-02 09:00,15.76,89.64,91.3,2020
STORM_001,2020-05-02 12:00,16.14,89.48,95.4,2020
STORM_001,2020-05-02 15:00,16.43,89.19,90.7,2020
STORM_001,2020-05-02 18:00,16.86,89.0,89.9,2020
STORM_001,2020-05-02 21:00,17.19,88.82,85.0,2020
STORM_001,2020-05-03 00:00,17.59,88.45,82.9,2020
STORM_001,2020-05-03 03:00,17.97,88.19,81.0,2020
STORM_001,2020-05-03 06:00,18.29,87.9,76.7,2020
STORM_001,2020-05-03 09:00,18.58,87.74,72.9,2020
STORM_001,2020-05-03 12:00,18.97,87.42,71.8,2020
STORM_001,2020-05-03 15:00,19.34,87.17,66.9,2020
STORM_001,2020-05-03 18:00,19.61,86.92,65.2,2020
STORM_001,2020-05-03 21:00,19.99,86.67,61.9,2020
STORM_001,2020-05-04 00:00,20.35,86.44,58.1,2020
STORM_001,2020-05-04 03:00,20.61,86.2,54.0,2020
STORM_001,2020-05-04 06:00,21.08,85.92,53.5,2020
STORM_001,2020-05-04 09:00,21.4,85.71,50.8,2020
STORM_001,2020-05-04 12:00,21.68,85.43,47.1,2020
STORM_001,2020-05-04 15:00,21.99,85.24,44.6,2020
STORM_002,2020-05-01 00:00,13.82,91.99,55.8,2020
STORM_002,2020-05-01 03:00,14.16,91.75,61.5,2020
STORM_002,2020-05-01 06:00,14.51,91.45,63.7,2020
STORM_002,2020-05-01 09:00,14.93,91.32,67.3,2020
STORM_002,2020-05-01 12:00,15.3,91.04,71.4,2020
STORM_002,2020-05-01 15:00,15.63,90.75,74.2,2020
STORM_002,2020-05-01 18:00,15.91,90.46,76.7,2020
STORM_002,2020-05-01 21:00,16.43,90.29,77.8,2020
STORM_002,2020-05-02 00:00,16.69,89.93,81.8,2020
STORM_002,2020-05-02 03:00,17.02,89.77,84.6,2020
STORM_002,2020-05-02 06:00,17.37,89.56,89.2,2020
STORM_002,2020-05-02 09:00,17.76,89.31,90.4,2020
STORM_002,2020-05-02 12:00,18.06,88.98,93.9,2020
STORM_002,2020-05-02 15:00,18.42,88.83,92.8,2020
STORM_002,2020-05-02 18:00,18.73,88.52,88.0,2020
STORM_002,2020-05-02 21:00,19.06,88.19,84.9,2020
STORM_002,2020-05-03 00:00,19.46,87.98,83.1,2020
STORM_002,2020-05-03 03:00,19.79,87.81,79.1,2020
STORM_002,2020-05-03 06:00,20.17,87.46,74.1,2020
STORM_002,2020-05-03 09:00,20.5,87.23,74.6,2020
STORM_002,2020-05-03 12:00,20.79,87.02,69.8,2020
STORM_002,2020-05-03 15:00,21.16,86.79,65.7,2020
STORM_002,2020-05-03 18:00,21.54,86.54,65.9,2020
STORM_002,2020-05-03 21:00,21.88,86.24,61.2,2020
STORM_002,2020-05-04 00:00,22.24,86.05,58.0,2020
STORM_002,2020-05-04 03:00,22.66,85.72,55.9,2020
STORM_002,2020-05-04 06:00,22.91,85.55,52.8,2020
STORM_002,2020-05-04 09:00,23.34,85.22,48.9,2020
STORM_002,2020-05-04 12:00,23.68,84.99,47.1,2020
STORM_002,2020-05-04 15:00,24.03,84.76,42.9,2020
STORM_003,2020-05-01 00:00,14.49,90.71,42.8,2020
STORM_003,2020-05-01 03:00,14.89,90.66,44.3,2020
STORM_003,2020-05-01 06:00,15.18,90.44,46.8,2020
STORM_003,2020-05-01 09:00,15.57,90.14,51.7,2020
STORM_003,2020-05-01 12:00,15.81,89.9,53.7,2020
STORM_003,2020-05-01 15:00,16.15,89.69,57.5,2020
STORM_003,2020-05-01 18:00,16.68,89.38,59.5,2020
STORM_003,2020-05-01 21:00,16.93,89.09,63.7,2020
STORM_003,2020-05-02 00:00,17.26,88.86,65.9,2020
STORM_003,2020-05-02 03:00,17.66,88.67,69.4,2020
STORM_003,2020-05-02 06:00,18.06,88.34,70.8,2020
STORM_003,2020-05-02 09:00,18.32,88.18,73.5,2020
STORM_003,2020-05-02 12:00,18.71,87.92,80.2,2020
STORM_003,2020-05-02 15:00,19.08,87.62,75.1,2020
STORM_003,2020-05-02 18:00,19.39,87.31,70.8,2020
STORM_003,2020-05-02 21:00,19.67,87.13,69.9,2020
STORM_003,2020-05-03 00:00,20.09,86.87,64.7,2020
STORM_003,2020-05-03 03:00,20.43,86.58,63.2,2020
STORM_003,2020-05-03 06:00,20.8,86.4,58.8,2020
STORM_003,2020-05-03 09:00,21.15,86.06,56.2,2020
STORM_003,2020-05-03 12:00,21.64,85.89,53.0,2020
STORM_003,2020-05-03 15:00,21.81,85.63,50.4,2020
STORM_003,2020-05-03 18:00,22.2,85.42,48.6,2020
STORM_003,2020-05-03 21:00,22.49,85.2,44.5,2020
STORM_003,2020-05-04 00:00,22.87,84.91,41.3,2020
